run,early_dropout,leaving_reason,n,prop
6,Early,I don’t have enough time,12,0.3333333333333333
7,Early,I don’t have enough time,11,0.4230769230769231
6,Early,Other,6,0.16666666666666666
6,Early,The course required more time than I realised,6,0.16666666666666666
6,Early,The course wasn’t what I expected,6,0.16666666666666666
7,Early,The course wasn’t what I expected,5,0.19230769230769232
6,Early,I prefer not to say,4,0.1111111111111111
7,Early,I prefer not to say,3,0.11538461538461539
7,Early,Other,3,0.11538461538461539
7,Early,The course won’t help me reach my goals,2,0.07692307692307693
6,Early,The course was too easy,1,0.027777777777777776
6,Early,The course won’t help me reach my goals,1,0.027777777777777776
7,Early,The course was too easy,1,0.038461538461538464
7,Early,The course was too hard,1,0.038461538461538464
7,Later,Other,7,0.4117647058823529
6,Later,Other,4,0.36363636363636365
7,Later,I don’t have enough time,4,0.23529411764705882
7,Later,I prefer not to say,3,0.17647058823529413
6,Later,I don’t have enough time,2,0.18181818181818182
6,Later,I prefer not to say,2,0.18181818181818182
7,Later,The course won’t help me reach my goals,2,0.11764705882352941
6,Later,The course required more time than I realised,1,0.09090909090909091
6,Later,The course was too easy,1,0.09090909090909091
6,Later,The course wasn’t what I expected,1,0.09090909090909091
7,Later,The course required more time than I realised,1,0.058823529411764705
